0,1
50,92
50,103
51,114
52,125
55,136
62,146
71,154
82,160
94,163
105,161
115,154
122,146
128,137
131,127
133,117
134,107
134,96
61,86
67,80
76,78
84,78
92,82
103,82
110,80
118,80
125,84
128,90
97,89
97,97
97,106
97,114
87,116
91,118
96,120
100,119
104,117
70,90
75,87
80,88
84,92
79,92
74,91
106,93
111,90
116,90
120,94
116,94
111,93
74,127
82,125
89,125
95,126
101,125
107,126
113,129
107,136
100,140
94,140
88,139
81,135
76,127
89,127
95,128
100,127
111,129
101,135
95,135
89,134
0,0
91,0
182,0
182,137
182,274
91,274
0,274
0,137
