0,1
41,89
42,102
45,113
47,125
52,136
59,146
68,154
79,159
91,160
102,158
112,152
119,144
125,134
127,123
128,112
129,100
130,88
48,84
55,79
64,78
72,79
81,82
93,82
101,79
109,77
117,77
123,82
88,87
88,95
88,103
88,111
80,117
84,118
88,119
92,118
95,116
59,89
64,85
70,85
75,89
69,90
64,90
99,89
104,85
109,85
114,88
110,89
104,89
72,133
77,130
83,128
88,130
93,128
99,130
106,132
100,136
95,137
89,138
84,137
78,136
74,133
83,132
88,132
93,131
103,132
94,132
89,133
84,132
0,0
91,0
182,0
182,137
182,274
91,274
0,274
0,137
