,0,1
0,54,102
1,55,112
2,57,123
3,59,133
4,63,142
5,69,151
6,76,158
7,84,164
8,93,165
9,102,163
10,110,157
11,117,150
12,122,142
13,125,132
14,128,122
15,129,113
16,130,102
17,60,94
18,65,89
19,72,88
20,79,89
21,86,93
22,99,93
23,106,90
24,112,88
25,120,89
26,124,94
27,92,101
28,92,108
29,92,115
30,92,121
31,85,127
32,89,128
33,92,128
34,96,128
35,100,127
36,68,103
37,73,101
38,78,101
39,81,104
40,77,105
41,72,105
42,104,104
43,108,101
44,112,101
45,116,103
46,113,104
47,108,105
48,80,140
49,85,138
50,90,136
51,93,137
52,97,136
53,101,138
54,107,140
55,102,144
56,97,146
57,93,146
58,89,146
59,85,144
60,82,141
61,89,140
62,93,141
63,97,140
64,104,140
65,97,140
66,93,141
67,89,140
